scenario,agent,slice,metric,mean,std,ci_lower,ci_upper,n
treatment_allocation_confounding,baseline,overall,success_rate,0.6441666666666667,0.011838560518556095,0.6366448041715765,0.6516885291617568,12
treatment_allocation_confounding,baseline,overall,near_optimal_rate,0.9325555555555556,0.004008408670200685,0.9300087341920869,0.9351023769190243,12
treatment_allocation_confounding,baseline,overall,avg_cost,0.4325097222222221,0.009102814689389215,0.42672606969921895,0.4382933747452253,12
treatment_allocation_confounding,baseline,overall,fairness_gap_ses,0.06571667773088827,0.008212691797282068,0.060498582311526855,0.07093477315024968,12
treatment_allocation_confounding,baseline,overall,fairness_gap_ses_max_min,0.16271314070369033,0.021496678515955648,0.14905480279641425,0.17637147861096641,12
treatment_allocation_confounding,baseline,overall,under_treatment_disparity,0.08727026514190211,0.014695974176446944,0.07793288862443074,0.0966076416593735,12
treatment_allocation_confounding,baseline,overall,bias_perpetuation_rate,-0.04284556091562133,0.008999459832195085,-0.04856354489532519,-0.037127576935917464,12
treatment_allocation_confounding,baseline,overall,group_fairness_gap,0.06716408841091535,0.0226504548510508,0.052772675994363256,0.08155550082746746,12
treatment_allocation_confounding,baseline,overall,action_alignment_diagnostic,0.6196941686378289,0.010870314364787043,0.6127875003987157,0.6266008368769421,12
treatment_allocation_confounding,baseline,overall,clip_rate,0.0,0.0,0.0,0.0,12
treatment_allocation_confounding,baseline,normal,success_rate,0.6503333333333333,0.0224917493290048,0.6360427575947009,0.6646239090719658,12
treatment_allocation_confounding,baseline,normal,near_optimal_rate,0.9474166666666665,0.004521832559590164,0.9445436313271295,0.9502897020062034,12
treatment_allocation_confounding,baseline,normal,avg_cost,0.4185583333333333,0.017279754750644603,0.4075793009603095,0.42953736570635714,12
treatment_allocation_confounding,baseline,normal,fairness_gap_ses,0.07637281643608342,0.012480884272265872,0.06844284089843526,0.08430279197373157,12
treatment_allocation_confounding,baseline,normal,fairness_gap_ses_max_min,0.19530763457146225,0.03251624257432742,0.17464779969392616,0.21596746944899833,12
treatment_allocation_confounding,baseline,normal,under_treatment_disparity,0.12516764597266963,0.023584620672683597,0.11018269291011408,0.1401525990352252,12
treatment_allocation_confounding,baseline,normal,bias_perpetuation_rate,-0.03762859105520746,0.015490011239369854,-0.04747047465307512,-0.0277867074573398,12
treatment_allocation_confounding,baseline,normal,group_fairness_gap,0.045093802345532896,0.022288458876027012,0.030932391198445704,0.059255213492620085,12
treatment_allocation_confounding,baseline,normal,action_alignment_diagnostic,0.5807733817878369,0.010652332235252882,0.5740052127862089,0.5875415507894649,12
treatment_allocation_confounding,baseline,normal,clip_rate,0.0,0.0,0.0,0.0,12
treatment_allocation_confounding,baseline,surface_shift,success_rate,0.67625,0.014900427083568,0.6667827203028578,0.6857172796971422,12
treatment_allocation_confounding,baseline,surface_shift,near_optimal_rate,0.9688333333333333,0.0066855792342152215,0.9645855189456826,0.9730811477209841,12
treatment_allocation_confounding,baseline,surface_shift,avg_cost,0.3836583333333332,0.012868598732314758,0.3754820157804312,0.3918346508862352,12
treatment_allocation_confounding,baseline,surface_shift,fairness_gap_ses,0.01819440050903006,0.007846272071865175,0.013209117076037637,0.023179683942022484,12
treatment_allocation_confounding,baseline,surface_shift,fairness_gap_ses_max_min,0.047168317469433174,0.021339987472416888,0.03360953630149742,0.06072709863736893,12
treatment_allocation_confounding,baseline,surface_shift,under_treatment_disparity,0.012631951054612718,0.010688031267509081,0.005841099970022185,0.01942280213920325,12
treatment_allocation_confounding,baseline,surface_shift,bias_perpetuation_rate,-0.04433419408502164,0.013020077304717437,-0.05260675653110806,-0.03606163163893523,12
treatment_allocation_confounding,baseline,surface_shift,group_fairness_gap,0.048062127695813694,0.03231573196123791,0.027529691183822272,0.06859456420780512,12
treatment_allocation_confounding,baseline,surface_shift,action_alignment_diagnostic,0.8848637455731273,0.03607730316639549,0.8619413207406524,0.9077861704056022,12
treatment_allocation_confounding,baseline,surface_shift,clip_rate,0.0,0.0,0.0,0.0,12
treatment_allocation_confounding,baseline,adversarial,success_rate,0.6059166666666665,0.019532994619051107,0.593505993982978,0.6183273393503551,12
treatment_allocation_confounding,baseline,adversarial,near_optimal_rate,0.8814166666666668,0.009652680582317151,0.8752836460232016,0.8875496873101321,12
treatment_allocation_confounding,baseline,adversarial,avg_cost,0.4953124999999999,0.01690216668466985,0.48457337563839326,0.5060516243616066,12
treatment_allocation_confounding,baseline,adversarial,fairness_gap_ses,0.10854271358594247,0.016590734531840425,0.098001463773903,0.11908396339798195,12
treatment_allocation_confounding,baseline,adversarial,fairness_gap_ses_max_min,0.27155840138219306,0.04305008507593292,0.24420568228804812,0.298911120476338,12
